style_number, astro_sign
37131, Cancer
37328, Scorpio
37528, Scorpio
37135, Scorpio
37337, ERROR
37834, ERROR
37537, ERROR
37140, ERROR
40914, ERROR
40802, ERROR
40653, ERROR
46108, Aquarius
40693, ERROR
42099, Pisces
40746, Aries
46110, Leo
40781, Scorpio
40788, Pisces
40634, ERROR
40798, ERROR
40742, ERROR
04596, Taurus
40724, Aquarius
None, ERROR
40887, Capricorn
36291, Scorpio
36402, Scorpio
36292, Pisces
36643, Pisces
40809, Virgo
40869, ERROR
46160, ERROR
40742, ERROR
47130, ERROR
40742, ERROR
40804, ERROR
42056, Capricorn
40464, Taurus
42069, Scorpio
42117, Leo
42111, Leo
46151, ERROR
40884, Aries
36168, ERROR
36167, ERROR
36169, ERROR
-, ERROR
-, ERROR
-, ERROR
-, ERROR
-, ERROR
-, ERROR
-, ERROR
41722, ERROR
41720, ERROR
41723, ERROR
41717, ERROR
-, ERROR
-, ERROR
-, ERROR
-, ERROR
-, ERROR
-, ERROR
41705, ERROR
41710, ERROR
41713, ERROR
41709, ERROR
40502, ERROR
40689, Pisces
41712, ERROR
42108, Aquarius
41101, ERROR
41013, ERROR
46215, ERROR
46194, ERROR
40886, ERROR
04409, ERROR
04412, ERROR
04506, ERROR
40935, ERROR
47113, ERROR
40799, ERROR
46063, ERROR
40756, ERROR
40318, ERROR
04628, Aquarius
40753, Capricorn
37037, Pisces
36150, Pisces
36615, Aries
37035, Aries
36147, Aries
-, Taurus
36522, Gemini
36922, Gemini
36960, ERROR
36060, Taurus
36818, Scorpio
37037, Pisces
36150, Pisces
36505, ERROR
99994, Taurus
36803, Taurus
36904, ERROR
36008, ERROR
36008, ERROR
36111, ERROR
33003, Virgo
34105, Virgo
36739, Virgo
36187, Libra
36821, Scorpio
36136, Scorpio
36135, Cancer
41153, Pisces
36165, Pisces
36616, Capricorn
99996, Capricorn
37038, Capricorn
36828, Capricorn
36151, Capricorn
37034, Sagittarius
36108, Pisces
36090, Scorpio
36120, ERROR
36943, Pisces
36103, Pisces
36131, Aries
36140, Cancer
36192, Taurus
36617, Pisces
37039, Pisces
36156, Pisces
36123, Taurus
36605, Sagittarius
36814, Sagittarius
37011, Sagittarius
36126, Sagittarius
36634, Capricorn
37054, Capricorn
36189, Capricorn
36101, Aries
36600, Leo
37000, Leo
36105, Leo
36639, Cancer
37058, Cancer
36824, Cancer
36178, Cancer
36124, Aquarius
36024, Sagittarius
41108, Libra
36805, Taurus
36603, Virgo
37010, Virgo
36122, Virgo
36614, Aquarius
37043, Aquarius
36146, Aquarius
36185, Scorpio
36806, Leo
36587, Capricorn
33007, Pisces
36161, Scorpio
36807, Gemini
36612, Scorpio
04193, Libra
36743, Leo
36608, Leo
36729, Virgo
36738, Virgo
36730, Virgo
36137, Scorpio
36142, ERROR
36602, Cancer
36813, Cancer
36991, Cancer
36121, Cancer
36721, Cancer
36723, Cancer
36722, Cancer
36133, Aquarius
36018, Aquarius
36939, Capricorn
41125, Capricorn
36021, Taurus
36141, Aquarius
36130, Aquarius
36618, Aries
37040, Aries
36611, Aries
36157, Aries
37167, Taurus
36138, Libra
36937, Aquarius
36029, Aquarius
33000, Scorpio
36817, Scorpio
36742, Scorpio
36742, Scorpio
33002, Libra
34104, Libra
36740, Libra
36950, Gemini
36128, Gemini
36149, Aquarius
41109, Libra
37168, Capricorn
36573, Aquarius
36400, Pisces
36160, Pisces
36734, Virgo
36647, Sagittarius
